Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Starship Troopers: Extermination,PlayStation 5,11/10/2024,NA,Knights Peak,Offworld Industries,Starship Troopers,First-Person Shooter,,,Starship Troopers: Extermination,Starship Troopers: Extermination,,,,,,,Starship Troopers: Extermination,,,,,
Transformers: Galactic Trials,Nintendo Switch,11/10/2024,NA,Outright Games,3DClouds,Transformers,Racing,,,Transformers: Galactic Trials,,,,,,,,Transformers: Galactic Trials,,,,,
Sky Oceans: Wings for Hire,Nintendo Switch,10/10/2024,NA,PQube,Octeto Studios,,Turn-Based RPG,,,Sky Oceans: Wings for Hire,,,,,Sky Oceans: Wings for Hire,,,Sky Oceans: Wings for Hire,,,,,
Simulakros,PC,10/10/2024,NA,Dear Villagers,Sirio Games,,Third-Person Shooter,,,Simulakros,,,,,Simulakros,,,,,,,,
Duck Paradox,PC,09/10/2024,NA,Midwest Games,Magic Games,,Action Platformer,,,Duck Paradox,Duck Paradox,,,,Duck Paradox,,,,,,,,
Stacy Sharp and the Night of Too Many Monsters,PC,09/10/2024,NA,MANTE,MANTE,,Action Platformer,,,Stacy Sharp and the Night Of Too Many Monsters,,,,,,,,,,,,,
Fortress,Playdate,08/10/2024,NA,Alan & Beth Cooke,Alan & Beth Cooke,,Action Adventure,,,,,,,,,,,,,,,,
Sword Art Online: Fractured Daydream,Xbox Series X|S,04/10/2024,NA,Bandai Namco Games,Dimps Corporation,Sword Art Online,Action RPG,,,Sword Art Online: Fractured Daydream,Sword Art Online: Fractured Daydream,,,,Sword Art Online: Fractured Daydream,,,SWORD ART ONLINE: Fractured Daydream,,,,,
Diplomacy is Not an Option,PC,04/10/2024,NA,Door 407,Door 407,,Simulation,,,Diplomacy is Not an Option,Diplomacy is Not an Option,,,,Diplomacy is Not an Option,,,,,,,,
SpongeBob SquarePants: The Patrick Star Game,Xbox Series X|S,04/10/2024,NA,Outright Games,PHL Collective,SpongeBob SquarePants,3D Platformer,,,SpongeBob SquarePants: The Patrick Star Game,SpongeBob SquarePants: The Patrick Star Game,,,,,,,,,,,,
Kill Knight,PC,02/10/2024,NA,PlaySide Studios,PlaySide Studios,,Twin-Stick Shooter,,,Kill Knight,KILL KNIGHT,,,,,,,,,,,,
Double Dragon Collection,Nintendo Switch,01/10/2024,NA,Arc System Works,Arc System Works,Double Dragon,Beat 'em Up,,,Double Dragon Collection,,,,,,,,Double Dragon Collection,,Double Dragon Collection,,,
Throne and Liberty,PC,01/10/2024,NA,Amazon Games,NCSOFT,,MMORPG,,,Throne and Liberty,Throne and Liberty,,,,Throne and Liberty,,,,,,,,
Legacy of Kain Collection,Evercade,30/09/2024,NA,Evercade,Crystal Dynamics,Legacy of Kain,Compilation,,,Legacy of Kain Collection,,,,,,,,Legacy of Kain Collection,,,,,
The Bitmap Brothers Collection 2,Evercade,30/09/2024,NA,Evercade,Evercade,The Bitmap Brothers Collection,Compilation,,,The Bitmap Brothers Collection 2,,,,,,,,Bitmap Brothers Collection 2,,,,,
Sonny Legacy Collection,PC,30/09/2024,NA,Armor Games Studios,Krin Juangbhanich,Sonny,Turn-Based RPG,,,Sonny Legacy Collection,,,,,,,,,,,,,
Reynatis,Nintendo Switch,27/09/2024,NA,NIS America,Natsume Atari,,Action RPG,,,Reynatis,REYNATIS,,,,Reynatis,,,Reynatis [Deluxe Edition],,,,,
Looney Tunes: Wacky World of Sports,PlayStation 5,27/09/2024,NA,GameMill Entertainment,Bamtang,Looney Tunes,Sports,,,Looney Tunes: Wacky World of Sports,Looney Tunes: Wacky World of Sports,,,,,,,Looney Tunes: Wacky World of Sports,,,,,
Shadows of Doubt,PC,26/09/2024,NA,Fireshine Games,ColePowered Games,,Roguelike,,,Shadows of Doubt,Shadows of Doubt,,,,Shadows of Doubt,,,,,,,,
The Holy Gosh Darn,PC,26/09/2024,NA,Yogscast Games,Perfectly Paranormal,,Adventure,,,The Holy Gosh Darn,The Holy Gosh Darn,,,,The Holy Gosh Darn,,,,,,,,
Atari 50: The Anniversary Celebration - Expanded Edition,Nintendo Switch,26/09/2024,NA,Atari,Digital Eclipse,Atari 50,Compilation,,,Atari 50: The Anniversary Celebration - Digital Expanded Edition,,,,,,,,,,,,,
Dark Sky,PC,24/09/2024,NA,Midwest Games,Ganymede Games,,Card Game,,,Dark Sky,,,,,Dark Sky,,,,,,,,
Anomalous,PC,22/09/2024,NA,Byron Dunwoody,Byron Dunwoody,,First-Person Shooter,,,Anomalous,,,,,Anomalous,,,,,,,,
Maiden Cops,PC,22/09/2024,NA,Pippin Games,Pippin Games,,Beat 'em Up,,,Maiden Cops,,,,,Maiden Cops,,,,,,,,
Basil and the Isles of Spice,PC,20/09/2024,NA,DigiPen Institute of Technology,Leviathan,,3D Platformer,,,Basil and the Isles of Spice,,,,,Basil and the Isles of Spice,,,,,,,,
Pneumata,PlayStation 5,20/09/2024,NA,Perp Games,Deadbolt Interactive,,Survival Horror,,,Pneumata,Pneumata,,,,Pneumata,,,Pneumata,,,,,
Dead Rising Deluxe Remaster,PlayStation 5,19/09/2024,NA,Capcom,Capcom,Dead Rising,Survival Horror,,,Dead Rising Deluxe Remaster,Dead Rising Deluxe Remaster,,,,Dead Rising Deluxe Remaster,,,Dead Rising: Deluxe Remaster,,,,,
Diluvian Ultra: Awakening,PC,16/09/2024,NA,Fulqrum Publishing,Cresthelm Studios,Diluvian Ultra,First-Person Shooter,,,Diluvian Ultra: Awakening,,,,,Diluvian Ultra: Awakening,,,,,,,,
Hands of Necromancy II,PC,16/09/2024,NA,Fulqrum Publishing,HON Team,Hands of Necromancy,First-Person Shooter,,,Hands of Necromancy II,,,,,,,,,,,,,
Funko Fusion,Xbox Series X|S,13/09/2024,NA,Funko Games,10:10 Games,Funko,Action Adventure,,,Funko Fusion,Funko Fusion,,,,,,,Funko Fusion,,,,,
Marvel vs. Capcom Fighting Collection: Arcade Classics,Nintendo Switch,12/09/2024,NA,Capcom,Capcom,Marvel vs. Capcom,Compilation,,,Marvel vs. Capcom Fighting Collection: Arcade Classics,Marvel vs. Capcom Fighting Collection: Arcade Classics,,,,Marvel vs. Capcom Fighting Collection: Arcade Classics,,,Marvel vs. Capcom Fighting Collection: Arcade Classics,,,,,
DeathSprint 66,PC,12/09/2024,NA,Secret Mode,Sumo Digital,,Racing,,,DeathSprint 66,DeathSprint 66,,,,DeathSprint 66,,,,,,,,
Early Mellow,PC,12/09/2024,NA,stramzer,"stramzer, 87sabins",,Adventure,,,Early Mellow,,,,,,,,,,,,,
Grapple Dogs: Cosmic Canines,PC,12/09/2024,NA,Super Rare Originals,Medallion Games,Grapple Dog,Side-Scrolling Platformer,,,Grapple Dogs: Cosmic Canines,Grapple Dogs: Cosmic Canines,,,,Grapple Dogs: Cosmic Canines,,,,,,,,
Wild Bastards,PC,12/09/2024,NA,Maximum Entertainment,Blue Manchu,Void Bastards,First-Person Shooter,,,Wild Bastards,Wild Bastards,,,,Wild Bastards,,,,,,,,
Yars Rising,Nintendo Switch,10/09/2024,NA,Atari,WayForward Technologies,Yars' Revenge,Metroidvania,,,Yars Rising,Yars Rising,,,,,,,Yars Rising,,,,,
Hive Jump 2: Survivors,PC,10/09/2024,NA,Midwest Games,Graphite Lab,Hive Jump,Roguelike,,,Hive Jump 2: Survivors,Hive Jump 2: Survivors,,,,,,,,,,,,
Rugrats: Adventures in Gameland,PC,10/09/2024,NA,The MIX Games,The MIX Games,Rugrats,Side-Scrolling Platformer,,,Rugrats: Adventures in Gameland,,Rugrats: Adventures in Gameland,,,,,,,,,,,
Satisfactory,PC,10/09/2024,NA,Coffee Stain Publishing,Coffee Stain Studios,,Simulation,,,Satisfactory,Satisfactory,Satisfactory,,,Satisfactory,,Satisfactory,,,Satisfactory,,,
Selfloss,PC,05/09/2024,NA,Silver Lining Interactive,Goodwin Games,,Action Adventure,,,Selfloss,,,,,Selfloss,,,,,,,,
Shogun Showdown,PC,05/09/2024,NA,Goblinz Publishing,Roboatino,,Roguelike,,,Shogun Showdown,Shogun Showdown,,,,,,,,,,,,
Harry Potter: Quidditch Champions,PlayStation 5,03/09/2024,NA,Warner Bros. Interactive Entertainment,Unbroken Studios,Harry Potter,Sports,,,Harry Potter: Quidditch Champions,Harry Potter: Quidditch Champions,Harry Potter: Quidditch Champions,,,,,,,,,,,
Thalamus Collection 1,Evercade,30/08/2024,NA,Evercade,Evercade,,Compilation,,,Thalamus Collection 1,,,,,,,,Thalamus Collection 1,,,,,
Tomb Raider Collection 1,Evercade,30/08/2024,NA,Evercade,Evercade,Tomb Raider,Compilation,,,Tomb Raider Collection 1,,,,,,,,Tomb Raider Collection 1,,,,,
Visions of Mana,PlayStation 5,29/08/2024,NA,Square Enix,Ouka Studios,Mana,Action RPG,,,Visions of Mana,Visions of Mana,Visions of Mana,,,Visions of Mana,,,Visions of Mana,,,,,
Gundam Breaker 4,PlayStation 5,29/08/2024,NA,Bandai Namco Games,Crafts & Meister,Gundam,Third-Person Action,,,Gundam Breaker 4,Gundam Breaker 4,,,,Gundam Breaker 4,,,Gundam Breaker 4,,,,,
WitchSpring R,Nintendo Switch,29/08/2024,NA,KIWIWALKS,KIWIWALKS,WitchSpring,Turn-Based RPG,,,WitchSpring R,WitchSpring R,,,,WitchSpring R,,,Witch Spring R,,,,,
Star Wars Outlaws,PlayStation 5,27/08/2024,NA,Ubisoft,Massive Entertainment,Star Wars,Action Adventure,,,Star Wars Outlaws,Star Wars Outlaws,,,,Star Wars Outlaws,,,Star Wars Outlaws [Limited Edition],,,,,
Koboo: The Tree Spirit,PC,26/08/2024,NA,Honest Rogue Games,"Jerome Labelle, Simon Labelle",,Roguelike,,,Koboo: The Tree Spirit,,,,,,,,,,,,,
Tales from Toyotoki: Arrival of the Witch,Nintendo Switch,22/08/2024,NA,Aksys Games,Fragaria,,Visual Novel,,,Tales From Toyotoki: Arrival of the Witch,,Tales from Toyotoki: Arrival of the Witch,,,,,,Tales from Toyotoki: Arrival of the Witch,,,,,Ihanashi no Majo
Black Myth: Wukong,PlayStation 5,20/08/2024,NA,Game Science,Game Science,,Action RPG,,,Black Myth: Wukong,Black Myth: Wukong,,,,Black Myth: Wukong,,,Black Myth: Wukong,,,,,
Dustborn,PlayStation 5,20/08/2024,NA,Quantic Dream,Red Thread Games,,Adventure,,,Dustborn,Dustborn,,,,Dustborn,,,Dustborn,,,,,
Elrentaros Wanderings,Nintendo Switch,16/08/2024,NA,Red Art Games,HAKAMA,,Action RPG,,,Elrentaros Wanderings,Elrentaros Wanderings,,,,,,,,,,,,
Slash Quest,PC,15/08/2024,NA,Noodlecake,Big Green Pillow,,Action Adventure,,,Slash Quest!,,,,,Slash Quest,,,,,,,,
Tales & Tactics,PC,15/08/2024,NA,Yogscast Games,Table 9 Studio,,Turn-Based Strategy,,,Tales & Tactics,,,,,Tales & Tactics,,,,,,,,
The Crimson Diamond,PC,15/08/2024,NA,Julia Minamata,Julia Minamata,,Adventure,,,The Crimson Diamond,The Crimson Diamond,,,,The Crimson Diamond,,,,,,,,
X Invader,PC,12/08/2024,NA,ALLAF GAMES,ALLAF GAMES,,Roguelike,,,X Invader,,,,,X Invader,,,,,,,,
Cat Quest III,Nintendo Switch,08/08/2024,NA,Maximum Games,The Gentlebros,Cat Quest,Action RPG,,,Cat Quest III,Cat Quest III,Cat Quest III,,,,,,Cat Quest III,,Cat Quest III,,,
Dungeons & Degenerate Gamblers,PC,08/08/2024,NA,Yogscast Games,Purple Moss Collectors,,Card Game,,,Dungeons & Degenerate Gamblers,Dungeons & Degenerate Gamblers,,,,Dungeons & Degenerate Gamblers,,,,,,,,
CYGNI: All Guns Blazing,PC,05/08/2024,NA,Konami,KeelWorks,,Twin-Stick Shooter,,,Cygni: All Guns Blazing,CYGNI: All Guns Blazing,Cygni: All Guns Blazing,,,Cygni: All Guns Blazing,,,,,,,,
World of Goo 2,Nintendo Switch,02/08/2024,NA,2D Boy,2D Boy,World of Goo,Puzzle,,,World of Goo 2,World of Goo 2,,,,World of Goo 2,,,World of Goo 2,,,,,
Thank Goodness You're Here!,PC,01/08/2024,NA,Panic,Coal Supper,,Adventure,,,Thank Goodness You're Here!,Thank Goodness You're Here!,,,,Thank Goodness You're Here!,,,,,,,,
Arranger,iOS,25/07/2024,NA,Netflix Games,Furniture & Mattress,,Puzzle Action,,,,Arranger,,,,Arranger: A Role-Puzzling Adventure,,,,,,,,
Sylvio: Black Waters,PC,25/07/2024,NA,DreadXP,Stroboskop,Sylvio,Survival Horror,,,Sylvio: Black Waters,,,,,,,,,,,,,
Total War: Pharaoh Dynasties,PC,25/07/2024,NA,Sega,Creative Assembly,Total War,Grand Strategy,,,Total War: Pharaoh Dynasties,Total War: PHARAOH DYNASTIES,,,,,,,,,,,,
Playback Loop,PC,22/07/2024,NA,MapPack,MapPack,,Puzzle Platformer,,,Playback Loop,,,,,Playback Loop,,,,,,,,
Nintendo World Championships: NES Edition,Nintendo Switch,18/07/2024,NA,Nintendo,indieszero,,Minigame Collection,,,Nintendo World Championships: NES Edition,Nintendo World Championships: NES Edition,Nintendo World Championships: NES Edition,,,Nintendo World Championships: NES Edition,,,Nintendo World Championships: NES Edition [Deluxe Set],,,,,
Dungeons of Hinterberg,PC,18/07/2024,NA,Curve Games,Microbird Games,,Action Adventure,,,Dungeons of Hinterberg,Dungeons of Hinterberg,,,,Dungeons of Hinterberg,,,,,,,,
SCHiM,PlayStation 5,18/07/2024,NA,Extra Nice,Ewoud van der Werf,,3D Platformer,,,SCHiM,SCHiM,,,,,,,SCHiM,,,,,
Bō: Path of the Teal Lotus,Nintendo Switch,18/07/2024,AS,Humble Games,Squid Shock Studio,,Metroidvania,,,Bō: Path of the Teal Lotus,,,,,Bo: Path of the Teal Lotus,,,Bo: Path of the Teal Lotus,,,,,
Penrose,Playdate,16/07/2024,NA,Liza Olson,Liza Olson,,Adventure,,,Penrose,,,,,,,,,,,,,
Gestalt: Steam & Cinder,PC,16/07/2024,NA,Fireshine Games,Metamorphosis Games,,Metroidvania,,,Gestalt: Steam & Cinder,Gestalt: Steam & Cinder,,,,Gestalt: Steam & Cinder,,,,,,,,
Hookah Haze,Nintendo Switch,11/07/2024,AS,Aniplex,Acquire,,Visual Novel,,,Hookah Haze,,,,,Hookah Haze,,,Hookah Haze,,,,,Hookah Haze
The Legend of Heroes: Trails Through Daybreak,Nintendo Switch,05/07/2024,NA,NIS America,Nihon Falcom,The Legend of Heroes,Action RPG,,,The Legend of Heroes: Trails through Daybreak,The Legend of Heroes: Trails through Daybreak,The Legend of Heroes: Trails Through Daybreak,,,The Legend of Heroes: Trails through Daybreak,,,Legend of Heroes: Trails Through Daybreak [Deluxe Edition],,,,,
Taboo Trial: Twilight Edition,Nintendo Switch,04/07/2024,AS,Happy Player,Happy Player,,Roguelike,,,,,,,,,,,Taboo Trial [Twilight Edition],,,,,
Jugglenoid,Playdate,02/07/2024,NA,Rudolfs Lacinovs,Rudolfs Lacinovs,,Puzzle Action,,,Jugglenoid,,,,,,,,,,,,,
Gothic: Classic Khorinis Saga,Nintendo Switch,27/06/2024,NA,THQ Nordic,THQ Nordic,Gothic,Computer RPG,,,Gothic Classic Khorinis Saga,,,,,,,,Gothic: Classic Khorinis Saga,,,,,
Luigi's Mansion 2 HD,Nintendo Switch,27/06/2024,NA,Nintendo,Tantalus,Luigi's Mansion,Action Adventure,,,Luigi's Mansion 2 HD,Luigi's Mansion 2 HD,,,,,,Luigi's Mansion 2 HD,Luigi's Mansion 2 HD,,Luigi's Mansion 2 HD,,,
Tsukihime: A Piece of Blue Glass Moon,Nintendo Switch,27/06/2024,NA,Aniplex,Type-Moon,Tsukihime,Visual Novel,,,Tsukihime: A Piece of Blue Glass Moon,Tsukihime: A Piece of Blue Glass Moon,Tsukihime: A piece of blue glass moon,,,Tsukihime: A Piece of Blue Glass Moon,,,Tsukihime: A Piece of Blue Glass Moon [Limited Edition],,,,,Tsukihime -A piece of blue glass moon-
Super Monkey Ball: Banana Rumble,Nintendo Switch,25/06/2024,NA,Sega,Sega,Super Monkey Ball,3D Platformer,,,Super Monkey Ball: Banana Rumble,Super Monkey Ball Banana Rumble,Super Monkey Ball: Banana Rumble,,,Super Monkey Ball: Banana Rumble,,,Super Monkey Ball: Banana Rumble [Legendary Banana Edition],,,,,
Rusted Moss,Nintendo Switch,20/06/2024,JP,Playism,faxdoc,,Metroidvania,,,Rusted Moss,,Rusted Moss,,,Rusted Moss,,,Rusted Moss,,,,,
Initial Daydream,Playdate,18/06/2024,NA,James Gameboy,James Gameboy,,Turn-Based RPG,,,Initial Daydream,,,,,,,,,,,,,
Flame Keeper,PC,17/06/2024,NA,Untold Tales,Kautki Cave,,Roguelike,,,Flame Keeper,,Flame Keeper,,,,,,,,,,,
Monster Hunter Stories Collection,Nintendo Switch,14/06/2024,NA,Capcom,Capcom,Monster Hunter,Turn-Based RPG,,,Monster Hunter Stories Collection,,Monster Hunter Stories Collection,,,,,,Monster Hunter Stories Collection,,,,,
Shin Megami Tensei V: Vengeance,Nintendo Switch,14/06/2024,NA,Sega,Atlus,Megami Tensei,Turn-Based RPG,,,Shin Megami Tensei V: Vengeance,Shin Megami Tensei V: Vengeance,Shin Megami Tensei V: Vengeance,,,,,,Shin Megami Tensei V: Vengeance,,,,,
Life's Too Short: On Reflection!,Playdate,10/06/2024,NA,Pixel Ghost,Pixel Ghost,Life's Too Short,Adventure,,,Life's Too Short: On Reflection,,,,,,,,,,,,,
Kamaeru: A Frog Refuge,PC,08/06/2024,NA,Armor Games Studios,Humble Reeds,,Simulation,,,Kamaeru: A Frog Refuge,,,,,Kamaeru: A Frog Refuge,,,,,,,,
Psychopath Massacre,PC,07/06/2024,NA,Galactic Crows,Tarba Paul Cornel,,Survival Horror,,,Psychopath Massacre,,,,,,,,,,,,,
Star Stuff,PC,07/06/2024,NA,Astra Logical,Ánimo Games Studio,,Puzzle,,,Star Stuff,,,,,Star Stuff,,,,,,,,
Angel Pop,Playdate,04/06/2024,NA,Nnnn,Nnnn,,Scrolling Shooter,,,Angel Pop,,,,,,,,,,,,,
Nightmare Kart,PC,31/05/2024,NA,LWMedia,LWMedia,,Racing,,,Nightmare Kart,,Nightmare Kart,,,Nightmare Kart,,,,,,,,
SKALD: Against the Black Priory,PC,30/05/2024,NA,Raw Fury,High North Studios,,Computer RPG,,,Skald: Against the Black Priory,SKALD: Against the Black Priory,,,,SKALD: Against the Black Priory,,,,,,,,
Tiny Terry's Turbo Trip,PC,30/05/2024,NA,Super Rare Originals,snekflat,,Action Adventure,,,Tiny Terry's Turbo Trip,Tiny Terry's Turbo Trip,,,,Tiny Terry's Turbo Trip,,,,,,,,
Nine Sols,PC,29/05/2024,NA,Red Candle Games,Red Candle Games,,Metroidvania,,,Nine Sols,Nine Sols,Nine Sols,,,,,,,,,,,
TEVI,Nintendo Switch,28/05/2024,NA,PM Studios,CreSpirit,,Metroidvania,,,Tevi,TEVI,,,,,,,Tevi,,,,,
Paper Mario: The Thousand-Year Door,Nintendo Switch,23/05/2024,NA,Nintendo,Intelligent Systems,Paper Mario,Turn-Based RPG,,,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,,,Paper Mario: The Thousand-Year Door,,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,,,,,
Duck Detective: The Secret Salami,PC,23/05/2024,NA,Happy Broccoli Games,Happy Broccoli Games,Duck Detective,Adventure,,,Duck Detective: The Secret Salami,Duck Detective: The Secret Salami,,,,Duck Detective: The Secret Salami,,,,,,,,
RKGK / Rakugaki,PC,22/05/2024,NA,Wabisabi Games,Wabisabi Games,,3D Platformer,,,,RKGK / Rakugaki,,,,RKGK / Rakugaki,,,,,,,,
Isles of Sea and Sky,PC,22/05/2024,NA,Cicada Games,Cicada Games,,Puzzle Action,,,Isles of Sea and Sky,Isles of Sea and Sky,,,,Isles of Sea and Sky,,,,,,,,
Paper Trail,PC,21/05/2024,NA,Newfangled Games,Newfangled Games,,Puzzle Action,,,Paper Trail,Paper Trail,,,,,,,,,,,,
Summit,Playdate,21/05/2024,NA,Pixelated Opus,Pixelated Opus,,Side-Scrolling Platformer,,,Summit,,Summit,,,Summit,,,,,,,,
Senua's Saga: Hellblade II,Xbox Series X|S,21/05/2024,NA,Xbox Game Studios,Ninja Theory,Hellblade,Action Adventure,,,Senua's Saga: Hellblade II,Senua's Saga: Hellblade II,,,,Senua's Saga: Hellblade II,,,,,,,,
Eyes: The Horror Game,PC,20/05/2024,NA,QubicGames,Fearless Games,,Survival Horror,,,Eyes: The Horror Game,,,,,Eyes: The Horror Game,,,,,,,,
Songs of Conquest,PC,20/05/2024,NA,Coffee Stain Publishing,Lavapotion,,Strategy RPG,,,Songs of Conquest,Songs of Conquest,Songs of Conquest,,,Songs of Conquest,,Songs of Conquest,,,,,,
Pesticide Not Required,PC,18/05/2024,NA,Jampacked Games,Jampacked Games,,Roguelike,,,Pesticide Not Required,,,,,Pesticide Not Required,,,,,,,,
Morbid: The Lords of Ire,Nintendo Switch,17/05/2024,NA,Merge Games,Still Running,Morbid,Action RPG,,,Morbid: The Lords of Ire,,Morbid: The Lords of Ire,,,Morbid: The Lords of Ire,,,Morbid: The Lords of Ire,,,,,
Lorelei and the Laser Eyes,PC,16/05/2024,NA,Annapurna Interactive,Simogo,,Adventure,,,Lorelei and the Laser Eyes,Lorelei and the Laser Eyes,,,,Lorelei and the Laser Eyes,,,,,,,,
Read Only Memories: NEURODIVER,PC,15/05/2024,NA,Chorus Worldwide Games,MidBoss,Read Only Memories,Adventure,,,Read Only Memories: Neurodiver,Read Only Memories: NEURODIVER,Read Only Memories: Neurodiver,,,,,,,,,,,Read Only Memories: NEURODIVER
Baladins,PC,15/05/2024,NA,Armor Games Studios,Seed by Seed,,Computer RPG,,,Baladins,Baladins,,,,,,,,,Baladins,,,
Neptunia Game Maker R:Evolution,Nintendo Switch,14/05/2024,NA,Idea Factory,Compile Heart,Hyperdimension Neptunia,Turn-Based RPG,,,,,Neptunia Game Maker R:Evolution,,,,,,Neptunia Game Maker R:Evolution,,,,,
Dread Delusion,PC,14/05/2024,NA,DreadXP,Lovely Hellplace,,Action RPG,,,Dread Delusion,Dread Delusion,,,,Dread Delusion,,,,,,,,
"Braid, Anniversary Edition",PC,14/05/2024,NA,Thekla,Thekla,Braid,Puzzle Platformer,,,Braid: Anniversary Edition,,,,,,,,,,,,,
Fabledom,PC,13/05/2024,NA,Dear Villagers,Grenaa Games,,Simulation,,,Fabledom,Fabledom,,,,Fabledom,,,,,,,,
Homeworld 3,PC,13/05/2024,NA,Gearbox Publishing,Blackbird Interactive,Homeworld,Real-Time Strategy,,,Homeworld 3,Homeworld 3,,,,Homeworld 3,,,,,Homeworld 3,,,
Animal Well,Nintendo Switch,09/05/2024,NA,Bigmode,Shared Memory,,Metroidvania,,,Animal Well,Animal Well,,,,Animal Well,,,Animal Well,,,,,
Cryptmaster,PC,09/05/2024,NA,Akupara Games,"Paul Hart, Lee Williams",,Dungeon Crawler,,,Cryptmaster,Cryptmaster,,,,Cryptmaster,,,,,,,,
Crow Country,PlayStation 5,09/05/2024,NA,SFB Games,SFB Games,,Survival Horror,,,Crow Country,Crow Country,,,,,,,,,,,,
SUMMERHOUSE,PC,08/05/2024,NA,Future Friends Games,Friedemann,,Simulation,,,Summerhouse,SUMMERHOUSE,,,,SUMMERHOUSE,,,,,,,,
V Rising,PC,08/05/2024,NA,Stunlock Studios,Stunlock Studios,,Survival,,,V Rising,V Rising,V Rising,,,V Rising,,V Rising,,,V Rising,,,
Cozy Space Survivors,PC,03/05/2024,NA,simonschreibt,simonschreibt,,Roguelike,,,Cozy Space Survivors,,,,,Cozy Space Survivors,,,,,,,,
Endless Ocean Luminous,Nintendo Switch,02/05/2024,NA,Nintendo,Arika,Endless Ocean,Adventure,,,Endless Ocean: Luminous,Endless Ocean Luminous,,,,,,,Endless Ocean: Luminous,,,,,
Chrono Ark,PC,02/05/2024,NA,Al Fine,Al Fine,,Card Game,,,Chrono Ark,,Chrono Ark,,,Chrono Ark,,,,,,,,
Star Shredders,PC,02/05/2024,NA,Sharkbowl Games,Sharkbowl Games,,Scrolling Shooter,,,Star Shredders,,,,,,,,,,,,,
With Shining Eyes,PC,01/05/2024,NA,Lucas Fisher,Lucas Fisher,,Adventure,,,With Shining Eyes,,With Shining Eyes,,,With Shining Eyes,,,,,,,,
Piko Interactive Collection 4,Evercade,30/04/2024,NA,Evercade,Piko Interactive,Piko Interactive Collection,Compilation,,,Piko Interactive Collection 4,,,,,,,,,,,,,
Sunsoft Collection 2,Evercade,30/04/2024,NA,Evercade,Evercade,Sunsoft Collection,Compilation,,,Sunsoft Collection 2,,,,,,,,Sunsoft Collection 2,,,,,
Tales from Candleforth,PC,30/04/2024,NA,Feardemic,Under the Bed Games,Candleforth,Adventure,,,Tales from Candleforth,,,,,,,,,,,,,
Class of Heroes 1&2: Complete Edition,Nintendo Switch,26/04/2024,NA,PQube,Acquire,Class of Heroes,Turn-Based RPG,,,Class of Heroes 1 & 2 Complete Edition,Class of Heroes 1 & 2: Complete Edition,,,,,,,Class of Heroes 1 & 2: Complete Edition,,,,,
Sand Land,PlayStation 5,26/04/2024,NA,Bandai Namco Entertainment,ILCA,,Action RPG,,,Sand Land,SAND LAND,Sand Land,,,Sand Land,,,Sand Land,,,,,
